Time,value
08-09-2021 14:38,0.0840
08-09-2021 14:43,0.0750
08-09-2021 14:48,0.0750
08-09-2021 14:53,0.0190
08-09-2021 14:58,0.0780
08-09-2021 15:03,0.0710
08-09-2021 15:08,0.0230
08-09-2021 15:13,0.0230
08-09-2021 15:18,0.0240
08-09-2021 15:23,0.0210
08-09-2021 15:28,0.0240
08-09-2021 15:33,0.0210
08-09-2021 15:38,0.0250
08-09-2021 15:43,0.0230
08-09-2021 15:48,0.0860
08-09-2021 15:53,0.0840
08-09-2021 15:58,0.0660
08-09-2021 16:03,0.0220
08-09-2021 16:08,0.0230
08-09-2021 16:13,0.0290
08-09-2021 16:18,0.0260
08-09-2021 16:23,0.0230
08-09-2021 16:28,0.0240
08-09-2021 16:33,0.0230
08-09-2021 16:38,0.0230
08-09-2021 16:43,0.0200
08-09-2021 16:48,0.0220
08-09-2021 16:53,0.0340
08-09-2021 16:58,0.0430
08-09-2021 17:03,0.0240
08-09-2021 17:08,0.0240
08-09-2021 17:13,0.0230
08-09-2021 17:18,0.0220
08-09-2021 17:23,0.0210
08-09-2021 17:28,0.0340
08-09-2021 17:33,0.0210
08-09-2021 17:38,0.0220
08-09-2021 17:43,0.0210
08-09-2021 17:48,0.0220
08-09-2021 17:53,0.0220
08-09-2021 17:58,-0.30
08-09-2021 18:04,0.0550
08-09-2021 18:09,0.0850
08-09-2021 18:14,0.0260
08-09-2021 18:19,0.0250
08-09-2021 18:24,0.0480
08-09-2021 18:29,0.0220
08-09-2021 18:34,0.0360
08-09-2021 18:39,0.0230
08-09-2021 18:44,0.0660
08-09-2021 18:49,0.0200
08-09-2021 18:54,0.0900
08-09-2021 18:59,0.0820
08-09-2021 19:04,0.0840
08-09-2021 19:09,0.0900
08-09-2021 19:14,0.0750
08-09-2021 19:19,0.0820
08-09-2021 19:24,0.0840
08-09-2021 19:29,0.0250
08-09-2021 19:34,0.0210
08-09-2021 19:39,0.0230
08-09-2021 19:44,0.0840
08-09-2021 19:49,0.0210
08-09-2021 19:54,0.0210
08-09-2021 19:59,0.0840
08-09-2021 20:04,-0.23
08-09-2021 20:09,0.0280
08-09-2021 20:14,0.0240
08-09-2021 20:19,0.0810
08-09-2021 20:24,0.0270
08-09-2021 20:29,0.0660
08-09-2021 20:34,0.0250
08-09-2021 20:39,0.0760
08-09-2021 20:44,0.0230
08-09-2021 20:49,0.0230
08-09-2021 20:54,0.0350
08-09-2021 20:59,0.0420
08-09-2021 21:04,0.0210
08-09-2021 21:09,0.0200
08-09-2021 21:14,0.0230
08-09-2021 21:19,0.0240
08-09-2021 21:24,0.0440
08-09-2021 21:29,0.0210
08-09-2021 21:34,0.0800
08-09-2021 21:39,0.0680
08-09-2021 21:44,0.0260
08-09-2021 21:49,0.0380
08-09-2021 21:54,0.0830
08-09-2021 21:59,0.0680
08-09-2021 22:04,0.0280
08-09-2021 22:09,0.0230
08-09-2021 22:14,0.0220
08-09-2021 22:19,0.0220
08-09-2021 22:24,0.0200
08-09-2021 22:29,0.0230
08-09-2021 22:34,0.0220
08-09-2021 22:39,0.0210
08-09-2021 22:45,0.0220
08-09-2021 22:50,0.0210
08-09-2021 22:55,0.0330
08-09-2021 23:00,0.0880
08-09-2021 23:05,0.0210
08-09-2021 23:10,0.0220
08-09-2021 23:15,0.0520
08-09-2021 23:20,0.0920
08-09-2021 23:25,0.0950
08-09-2021 23:30,0.0880
08-09-2021 23:35,0.0200
08-09-2021 23:40,0.0230
08-09-2021 23:45,0.0220
08-09-2021 23:50,0.0170
08-09-2021 23:55,0.0200
09-09-2021 00:00,0.0180
09-09-2021 00:05,0.0200
09-09-2021 00:10,0.0220
09-09-2021 00:15,0.0270
09-09-2021 00:20,0.0230
09-09-2021 00:25,0.0200
09-09-2021 00:30,0.0170
09-09-2021 00:35,0.0200
09-09-2021 00:40,0.0200
09-09-2021 00:45,0.0200
09-09-2021 00:50,0.0200
09-09-2021 00:55,0.0930
09-09-2021 01:00,0.0240
09-09-2021 01:05,0.0760
09-09-2021 01:10,0.0230
09-09-2021 01:15,0.0180
09-09-2021 01:20,0.0200
09-09-2021 01:25,0.0200
09-09-2021 01:30,0.0190
09-09-2021 01:35,0.0190
09-09-2021 01:40,0.0170
09-09-2021 01:45,0.0200
09-09-2021 01:50,0.0200
09-09-2021 01:55,0.0200
09-09-2021 02:00,0.0190
09-09-2021 02:05,0.0200
09-09-2021 02:10,0.0200
09-09-2021 02:15,0.0210
09-09-2021 02:20,0.0210
09-09-2021 02:25,0.0200
09-09-2021 02:30,0.0200
09-09-2021 02:35,0.0200
09-09-2021 02:40,0.0210
09-09-2021 02:45,0.0200
09-09-2021 02:50,0.0200
09-09-2021 02:55,0.0200
09-09-2021 03:00,0.0200
09-09-2021 03:05,0.0210
09-09-2021 03:10,0.0200
09-09-2021 03:15,0.0190
09-09-2021 03:20,0.0200
09-09-2021 03:25,0.0240
09-09-2021 03:31,0.0210
09-09-2021 03:36,0.0280
09-09-2021 03:41,0.0180
09-09-2021 03:46,0.0460
09-09-2021 03:51,0.0200
09-09-2021 03:56,0.0200
09-09-2021 04:01,0.0200
09-09-2021 04:06,0.0210
09-09-2021 04:11,0.0190
09-09-2021 04:16,0.0170
09-09-2021 04:21,0.0170
09-09-2021 04:26,0.0200
09-09-2021 04:31,0.0200
09-09-2021 04:36,0.0200
09-09-2021 04:41,0.0160
09-09-2021 04:46,0.0160
09-09-2021 04:51,0.0150
09-09-2021 04:56,0.0170
09-09-2021 05:01,0.0160
09-09-2021 05:06,0.0180
09-09-2021 05:11,0.0210
09-09-2021 05:16,0.0200
09-09-2021 05:21,0.0200
09-09-2021 05:26,0.0200
09-09-2021 05:31,0.0210
09-09-2021 05:36,0.0210
09-09-2021 05:41,0.0200
09-09-2021 05:46,0.0200
09-09-2021 05:51,0.0150
09-09-2021 05:56,0.0150
09-09-2021 06:01,-0.23
09-09-2021 06:06,0.0910
09-09-2021 06:11,0.0930
09-09-2021 06:16,0.0210
09-09-2021 06:21,0.0160
09-09-2021 06:26,0.0230
09-09-2021 06:31,0.0230
09-09-2021 06:36,0.0200
09-09-2021 06:41,0.0960
09-09-2021 06:46,0.0260
09-09-2021 06:51,0.0270
09-09-2021 06:56,0.0220
09-09-2021 07:01,0.0290
09-09-2021 07:06,0.0270
09-09-2021 07:11,0.0300
09-09-2021 07:16,0.0340
09-09-2021 07:21,0.0340
09-09-2021 07:26,0.0920
09-09-2021 07:31,0.100
09-09-2021 07:36,0.0970
09-09-2021 07:41,0.0840
09-09-2021 07:46,0.0900
