"date","Torpagatan","Bergsjön","Chalmers","Tolered","Barlastplatsen","Torslanda flygpl","Ryaverket","Drakegatan"
"2020-11-10 21:54:00","0","0.2","0.1","3","8.4","","",""
"2020-11-11 10:08:00","0","0.2","0.1","3","8.4","","",""
"2020-11-11 18:12:00","0","0.2","0.1","3","8.4","","0.9",""
"2020-11-11 19:48:00","0","0.9999999999999999","0.4","3","18.4","","0.9","0.651"
"2020-11-12 08:00:00","0","0.9999999999999999","0.4","3","18.4","","0.9","0.651"
"2020-11-12 16:03:00","0","0.9999999999999999","0.4","3","18.4","","1.2000000000000002","0.651"
"2020-11-12 17:42:00","0","1.6000000000000003","0.7999999999999999","3","25.299999999999997","","1.2000000000000002","1.085"
"2020-11-13 05:52:00","0","1.6000000000000003","0.7999999999999999","3","25.299999999999997","","1.2000000000000002","1.085"
"2020-11-13 13:54:00","0","1.6000000000000003","0.7999999999999999","3","25.299999999999997","","5.3","1.085"
"2020-11-13 15:36:00","0","5.399999999999997","4.999999999999999","3","62.9","","5.3","4.557"
"2020-11-14 03:44:00","0","5.399999999999997","4.999999999999999","3","62.9","","5.3","4.557"
"2020-11-14 11:45:00","0","5.399999999999997","4.999999999999999","3","62.9","","5.3999999999999995","4.557"
"2020-11-14 13:30:00","0","5.4999999999999964","5.399999999999999","3","64.9","","5.3999999999999995","4.557"
"2020-11-15 01:36:00","0","5.4999999999999964","5.399999999999999","3","64.9","","5.3999999999999995","4.557"
"2020-11-15 09:36:00","0","5.4999999999999964","5.399999999999999","3","64.9","","8.299999999999999","4.557"
"2020-11-15 11:24:00","0","9.099999999999985","9.099999999999985","3","90.9","","8.299999999999999","8.028999999999995"
"2020-11-16 07:27:00","0","9.099999999999985","9.099999999999985","3","90.9","","11.3","8.028999999999995"
"2020-11-16 09:18:00","0","12.599999999999975","12.099999999999975","3","127.39999999999998","","11.3","10.850000000000001"
"2020-11-16 21:20:00","0","12.599999999999975","12.099999999999975","3","127.39999999999998","6.899999999999994","11.3","10.850000000000001"
"2020-11-17 05:18:00","0","12.599999999999975","12.099999999999975","3","127.39999999999998","6.899999999999994","22.600000000000005","10.850000000000001"
"2020-11-17 07:12:00","7.5999999999999925","26.60000000000009","27.000000000000085","12.099999999999977","140.29999999999924","6.899999999999994","22.600000000000005","24.520999999999965"
"2020-11-17 19:12:00","7.5999999999999925","26.60000000000009","27.000000000000085","12.099999999999977","140.29999999999924","7.8999999999999915","22.600000000000005","24.520999999999965"
"2020-11-18 03:09:00","7.5999999999999925","26.60000000000009","27.000000000000085","12.099999999999977","140.29999999999924","7.8999999999999915","25.600000000000016","24.520999999999965"
"2020-11-18 05:06:00","16.29999999999997","34.90000000000018","35.40000000000019","17.899999999999984","147.29999999999893","7.8999999999999915","25.600000000000016","32.983999999999924"
"2020-11-18 17:04:00","16.29999999999997","34.90000000000018","35.40000000000019","17.899999999999984","147.29999999999893","10.89999999999998","25.600000000000016","32.983999999999924"
"2020-11-19 01:00:00","16.29999999999997","34.90000000000018","35.40000000000019","17.899999999999984","147.29999999999893","10.89999999999998","27.30000000000002","32.983999999999924"
"2020-11-19 03:00:00","17.39999999999998","38.500000000000234","36.400000000000205","19","147.6999999999989","10.89999999999998","27.30000000000002","33.63499999999992"
"2020-11-19 14:56:00","17.39999999999998","38.500000000000234","36.400000000000205","19","147.6999999999989","10.99999999999998","27.30000000000002","33.63499999999992"
"2020-11-19 22:51:00","17.39999999999998","38.500000000000234","36.400000000000205","19","147.6999999999989","10.99999999999998","27.40000000000002","33.63499999999992"
"2020-11-20 00:54:00","17.39999999999998","38.500000000000234","36.500000000000206","19.1","147.6999999999989","10.99999999999998","27.40000000000002","33.63499999999992"
"2020-11-20 12:48:00","17.39999999999998","38.500000000000234","36.500000000000206","19.1","147.6999999999989","16.99999999999997","27.40000000000002","33.63499999999992"
"2020-11-20 20:42:00","17.39999999999998","38.500000000000234","36.500000000000206","19.1","147.6999999999989","16.99999999999997","37.60000000000002","33.63499999999992"
"2020-11-20 22:48:00","37.400000000000205","64.60000000000056","53.000000000000426","34.20000000000018","161.19999999999814","16.99999999999997","37.60000000000002","52.29699999999981"
"2020-11-21 10:40:00","37.400000000000205","64.60000000000056","53.000000000000426","34.20000000000018","161.19999999999814","26.000000000000032","37.60000000000002","52.29699999999981"
"2020-11-21 18:33:00","37.400000000000205","64.60000000000056","53.000000000000426","34.20000000000018","161.19999999999814","26.000000000000032","41.20000000000002","52.29699999999981"
"2020-11-21 20:42:00","40.10000000000023","66.2000000000005","56.000000000000455","36.700000000000216","167.59999999999806","26.000000000000032","41.20000000000002","59.45799999999979"
"2020-11-22 08:32:00","40.10000000000023","66.2000000000005","56.000000000000455","36.700000000000216","167.59999999999806","26.600000000000037","41.20000000000002","59.45799999999979"
"2020-11-23 06:24:00","40.10000000000023","66.2000000000005","56.000000000000455","36.700000000000216","167.59999999999806","27.300000000000043","41.20000000000002","59.45799999999979"
"2020-11-23 14:15:00","40.10000000000023","66.2000000000005","56.000000000000455","36.700000000000216","167.59999999999806","27.300000000000043","48.80000000000002","59.45799999999979"
"2020-11-23 16:30:00","50.70000000000038","79.69999999999979","67.70000000000039","48.80000000000039","176.09999999999758","27.300000000000043","48.80000000000002","69.00599999999974"
"2020-11-24 04:16:00","50.70000000000038","79.69999999999979","67.70000000000039","48.80000000000039","176.09999999999758","33.40000000000012","48.80000000000002","69.00599999999974"
"2020-11-24 12:06:00","50.70000000000038","79.69999999999979","67.70000000000039","48.80000000000039","176.09999999999758","33.40000000000012","49.300000000000026","69.00599999999974"
